id,cannon_teff,cannon_logg,cannon_m_h,cannon_alpha_m,cannon_teff_err,cannon_logg_err,cannon_m_h_err,cannon_alpha_m_err,cannon_red_chisq,ra,dec,snrg,codeindex,GAL_LONG,GAL_LAT
spec-55863-B6302_sp15-042.fits,4004.7626477,1.1231177835,-0.577926004116,0.233997175247,20.8117740629,0.0545351545258,0.0357013881078,0.013958583204,2.7338900009956837,357.426356,30.115,20.010000228881836,1674,107.37308208000235,-30.884812265476878
spec-55932-GAC_104N11_V1_sp16-164.fits,4896.5889061,2.61416213214,-0.708682832753,0.0173427702971,121.627747688,0.287880973635,0.150048160665,0.0414802080863,0.17767116483181297,103.39265,13.277721,7.329999923706055,24740,201.30366086145585,6.475986155822224
spec-55938-B5593805_sp07-161.fits,4273.68303491,1.13182310386,-1.34973129397,0.169453459999,138.617069826,0.344880908071,0.24435057554,0.0948117188426,0.08905807201764371,170.79063,26.215551,3.190000057220459,25067,210.54625265598682,70.283541774512
spec-55940-B5594006_sp07-117.fits,4658.71345521,2.90239470785,-0.500545240592,0.0156700381543,135.854273518,0.265415782592,0.163927709391,0.0528759368719,0.08105810473228346,169.215461,25.510708,6.579999923706055,31470,211.93190900997692,68.77647716200381
spec-55940-GAC_071N52_V3_sp12-022.fits,4451.88534951,1.81386396795,-0.191736795946,0.0675458150564,41.2106180404,0.111310871132,0.0582890600368,0.0187805326081,0.374105950479452,73.603608,53.774603,6.829999923706055,33817,154.1822443509626,6.361661220981273
spec-55940-GAC_103N06_V3_sp12-085.fits,5070.56272,3.2990089448,-0.613768280361,0.100177644732,125.50920026,0.19020179995,0.138186040658,0.0575901520905,0.17716822280841388,104.74085,8.2874616,12.800000190734863,35949,206.38710405953955,5.430528220987753
spec-55954-GAC_089N11_V1_sp12-045.fits,4858.84461052,2.56506645168,-0.302411223826,0.0980735053358,22.8404113709,0.0563236892657,0.0280951609695,0.0127197055419,0.23938740064299913,90.428357,13.389279,45.40999984741211,40578,195.31992348132255,-4.63376286444919
spec-55960-GAC_071N47_V2_sp12-102.fits,4717.23029736,2.54611906104,-0.337242350326,0.108714137617,125.286010627,0.277942360937,0.156416929164,0.0498481361097,0.1135933524597801,73.937244,49.006493,6.590000152587891,45688,158.04969606263947,3.5446602140734957
spec-55961-GAC_064N42_V1_sp14-214.fits,4075.37033589,1.54420509257,-0.317480951268,0.0785307761742,37.8130905542,0.0935201026843,0.0572620813088,0.0198124950107,0.2777071560461586,61.9151,42.62347,9.399999618530273,47465,156.97869729282743,-6.913569196105309
spec-55961-GAC_064N42_V2_sp06-137.fits,4537.05151609,2.06840339639,-0.0854859067261,0.0324135799834,67.0074056889,0.185690178473,0.0949489647301,0.0366483567939,0.12587154213044716,67.839538,41.79923,8.890000343322754,47731,160.68980514927824,-4.4056864717018955
spec-55961-GAC_064N42_V3_sp04-070.fits,4263.05401213,1.76707202181,-0.553329786615,0.0907947150217,41.2025917546,0.105577690008,0.0628304732691,0.0238560723676,0.2818901398382222,64.750895,42.373316,12.109999656677246,48098,158.6737279673929,-5.650607479797066
spec-55961-GAC_064N42_V3_sp05-199.fits,4767.55758375,2.23510265861,-0.260086639868,0.118850340832,23.867413193,0.0652926039452,0.0320600710504,0.0178675193501,0.9099168760310735,63.039359,41.300285,35.36000061035156,48164,158.50486729265188,-7.308650019244828
spec-55961-GAC_100N13_V2_sp10-243.fits,4925.79689427,2.92700226476,-0.573176841566,-0.0300294053301,112.066934616,0.222277982556,0.132520298081,0.0305526594235,0.18905206914972164,99.203443,13.123164,8.729999542236328,49258,199.59638753662037,2.7661406539565276
spec-55966-GAC_104N11_V4_sp13-076.fits,4754.05568867,2.64243301196,-0.562990870712,-0.0203422441963,52.9789566265,0.116375337956,0.0684391937076,0.0182775836451,0.24334242045850796,106.3502,12.064179,19.18000030517578,50670,203.68788761257466,8.528174589470993
spec-55967-GAC_100N13_V4_sp14-113.fits,4612.95646652,2.32529589108,-0.398814235058,0.0108363111016,80.019263178,0.21048205688,0.107136098609,0.033549725836,0.1887364045,98.755236,13.795746,7.340000152587891,52476,198.79795101538485,2.6866941469724357
spec-55976-GAC_084N40_V1_sp07-035.fits,4979.38351612,2.26410914402,-0.664408624307,0.234509912334,49.7742266836,0.112275933679,0.0638966310706,0.0183178394952,0.2739754011999417,84.928498,38.624401,18.59000015258789,56474,171.1052202608714,4.046479634043891
spec-55976-GAC_084N40_V1_sp16-231.fits,4785.47472981,2.59169953064,-0.25549062932,0.00999595691439,73.4977700088,0.177592879638,0.0910040536342,0.0270924564818,0.2589347529355602,82.846931,42.331127,8.890000343322754,57119,167.11620689791295,4.697946174148442
spec-55977-GAC_080N37_V1_sp07-212.fits,4914.10519021,2.7299108444,-0.0852712379492,0.0271789432315,47.740269377,0.118051374169,0.0561011621174,0.018429721345,0.27578239874580335,81.681912,35.691755,9.829999923706055,59249,172.16105255982524,0.2811343453480004
spec-55984-GAC_099N04_V3_sp13-207.fits,4772.46311998,2.65629737329,-0.492032696287,-0.0102012236856,74.3529214342,0.169152321603,0.0930719739487,0.0248716435301,0.28229752163254673,101.57842,5.096072,9.550000190734863,62447,207.8127731735309,1.1852236070801392
spec-55993-GAC_097N20_V1_sp07-145.fits,5075.95658149,2.93794410152,-0.117932498198,0.0323662233739,160.832708892,0.374853100024,0.185419625729,0.0672780437802,0.09599226742167322,99.332618,18.934057,5.139999866485596,63390,194.4633672969068,5.518716840594557
spec-55999-GAC_112N06_V3_sp15-102.fits,4835.6561557,3.17905080381,-0.443027445215,0.328823178319,81.3001268377,0.161383708569,0.0851956777878,0.0260112858474,0.3427315381834267,112.30219,7.5769444,9.319999694824219,70164,210.4025566118123,11.821460533590285
spec-56094-kepler05B56094_2_sp07-190.fits,4982.82757707,2.61889588417,-0.475168771648,0.327356598836,33.2705732626,0.0781437662691,0.0376524191468,0.0124898791185,0.5458798452982555,293.074625,37.751583,28.510000228881836,78710,70.97191755149444,8.880574285270791
spec-56096-kepler08B56096_2_sp02-186.fits,4819.40901746,2.99805099036,0.370749372914,0.124827387741,75.2603582912,0.183896358696,0.0812442232766,0.0419388987438,0.20729576687581092,292.405167,39.036389,6.760000228881836,81188,71.88559832274144,9.935806687963023
spec-56199-EG010159N023133V_1_sp11-118.fits,4646.98705032,2.71715885401,0.100529473051,0.050042622889,9.13961410664,0.02232969525,0.0116006302472,0.00618612350775,1.1669511747407189,15.774823,4.579436,90.37000274658203,82139,128.44777019926505,-58.16736615635201
spec-56214-EG000024N121601M01_sp02-198.fits,4794.35240817,3.06702119706,-0.158935143049,0.304332521011,68.5775332227,0.146662986716,0.0743930889103,0.0268612593851,0.21158649750085035,358.727561,11.065827,12.670000076293945,89016,101.31842590453503,-49.419004088522904
spec-56214-EG000024N121601M01_sp13-016.fits,4892.08671271,2.81654406359,-0.119837083785,0.330018963393,78.1343971568,0.18176334871,0.0852482911537,0.0302839799443,0.18595188317307154,2.28706,12.80609,10.850000381469727,89079,107.18142621733591,-48.76807096330265
spec-56228-EG220318S020919V01_sp11-009.fits,4925.59840928,3.29730297918,0.0627517497659,0.225325899696,22.3666326433,0.0448259813327,0.024669360645,0.011869204924,0.3226623352461752,330.31529,-0.242304,47.0,98025,59.096015541204224,-41.119115184671855
spec-56245-GAC102N32B1_sp16-060.fits,4809.53343982,3.26205705979,0.362322396103,0.187857384021,67.2278640558,0.14133040256,0.0703081123356,0.0310315744487,0.3103944174934574,101.12592,34.268424,9.100000381469727,103465,181.11362605264796,13.562222223325328
spec-56255-VB007N33V1_sp11-190.fits,5116.22029774,3.55622136398,0.238804761601,0.172772489434,54.8549128492,0.10852523558,0.05530272349,0.028500322385,0.17789842650624133,7.281718,35.78363,15.65999984741211,106497,117.86088164765776,-26.868337611841504
